corpus_size;modelo;tamanho_contexto;categoria;qtde_total;qtde_analisada;qtde_fora_dicionario;qtde_fora_ranking;mse;rmsd
5100000;cbow;4;city-in-state;2467;1607;541;319;0.013324;0.115431
5100000;cbow;4;family;506;323;164;19;0.003949;0.062839
5100000;cbow;4;gram1-adjective-to-adverb;992;467;290;235;0.016555;0.128667
5100000;cbow;4;gram2-opposite;812;227;432;153;0.015302;0.123701
5100000;cbow;4;gram3-comparative;1332;1166;142;24;0.003579;0.059823
5100000;cbow;4;gram4-superlative;1122;566;522;34;0.008685;0.093194
5100000;cbow;4;gram5-present-participle;1056;768;126;162;0.011051;0.105122
5100000;cbow;4;gram6-nationality-adjective;1599;1329;228;42;0.003421;0.058487
5100000;cbow;4;gram7-past-tense;1560;1278;78;204;0.010104;0.100518
5100000;cbow;4;gram8-plural;1332;1007;210;115;0.008699;0.093271
5100000;cbow;4;gram9-plural-verbs;870;594;168;108;0.007724;0.087887
5100000;cbow;4;TOTAL;19544;11703;6118;1723;0.009328;0.096583
5100000;skip-gram;4;capital-common-countries;506;444;44;18;0.005379;0.073342
5100000;skip-gram;4;capital-world;4524;1647;2645;232;0.008202;0.090565
5100000;skip-gram;4;currency;866;221;528;117;0.010564;0.102781
5100000;skip-gram;4;city-in-state;2467;1542;541;384;0.009656;0.098264
5100000;skip-gram;4;family;506;322;164;20;0.004007;0.063302
5100000;skip-gram;4;gram1-adjective-to-adverb;992;339;290;363;0.008831;0.093974
5100000;skip-gram;4;gram2-opposite;812;242;432;138;0.011298;0.106292
5100000;skip-gram;4;gram3-comparative;1332;1113;142;77;0.004822;0.069443
5100000;skip-gram;4;gram4-superlative;1122;505;522;95;0.006335;0.079591
5100000;skip-gram;4;gram5-present-participle;1056;574;126;356;0.008420;0.091763
5100000;skip-gram;4;gram6-nationality-adjective;1599;1348;228;23;0.003067;0.055383
5100000;skip-gram;4;gram7-past-tense;1560;1092;78;390;0.006449;0.080308
5100000;skip-gram;4;gram8-plural;1332;915;210;207;0.007298;0.085430
5100000;skip-gram;4;gram9-plural-verbs;870;531;168;171;0.005902;0.076822
5100000;skip-gram;4;TOTAL;19544;10835;6118;2591;0.006878;0.082936
5100000;cbow;6;capital-common-countries;506;453;44;9;0.006750;0.082160
5100000;cbow;6;capital-world;4524;1776;2645;103;0.009395;0.096930
5100000;cbow;6;currency;866;218;528;120;0.018070;0.134424
5100000;cbow;6;city-in-state;2467;1668;541;258;0.011389;0.106717
5100000;cbow;6;family;506;320;164;22;0.005359;0.073207
5100000;cbow;6;gram1-adjective-to-adverb;992;415;290;287;0.017633;0.132791
5100000;cbow;6;gram2-opposite;812;194;432;186;0.015904;0.126111
5100000;cbow;6;gram3-comparative;1332;1168;142;22;0.004037;0.063538
5100000;cbow;6;gram4-superlative;1122;565;522;35;0.010104;0.100517
